D0=10BDF4 D1=E4A2 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108910 A1=102100 A2=F7588 A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=32BBE -- 032BBE: bne     $32bca
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E8A A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=3377C -- 03377C: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E8C A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=3377E -- 03377E: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E8E A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33780 -- 033780: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E90 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33782 -- 033782: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E92 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33784 -- 033784: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E94 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33786 -- 033786: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E96 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33788 -- 033788: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E98 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=3378A -- 03378A: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E9A A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=3378C -- 03378C: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E9C A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=3378E -- 03378E: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E9E A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33790 -- 033790: move.w  (A0)+, (A1)
